id,class,gist,qeustion,answer,reason
1,1,건축물의 대지가 반드시 「건축법」상 도로에 접하여야 하는지,"「건축법」 제44조 제1항에서 건축물의 대지는 2미터 이상이 도로(자동차만의 통행에 사용되는 도로는 제외함)에 접하여야 한다고 규정하면서, 같은 법 제3조 제2항에서는 일정 지역에서는 같은 법 제44조를 적용하지 아니한다고 규정하고 있는데,여기에서 “적용하지 아니한다”는 것은 건축물의 대지가 도로에 접하지 아니하여도 된다는 의미인지, 아니면 건축물의 대지와 도로가 접하는 부분이 2미터 이상은 아니더라도 최소한 도로에 접하기는 하여야 한다는 의미인지?",이 건 질의에서 “적용하지 아니한다”는 것은 건축물의 대지가 도로에 접하지 아니하여도 된다는 의미라고 할 것임.,"「건축법」제44조 제1항 단서와 각 호 및 같은 법 시행령 제28조 제1항에서 규정하고 있는 접도의무 예외 사유를 보면, ① 해당 건축물의 출입에 지장이 없다고 인정되는 경우, ② 건축물의 주변에 광장, 공원, 유원지, 그 밖에 관계 법령에 따라 건축이 금지되고 공중의 통행에 지장이 없는 공지로서 허가권자가 인정한 공지가 있는 경우와 같이 건축물의 대지가 도로에 접하여 있지 아니하여도 건축물의 주변에 공지 등이 존재하여 건축물로의 통행에 지장이 없는 경우를 규정하고 있는 점 등에 비추어 볼 때, 이 사안에서와 같이 「건축법」제44조의 적용이 제외되는 대지의 건축물에 대해서는 도로에 접할 것을 요구하지 아니한다고 해석하는 것이 접도의무 규정의 취지에 부합한다고 할 것임."
2,1,접도의무의 기준이 되는 도로의 의미,건축법 제2조제1항제11호에 따른 “도로” 외에 “지목이 도로이고 사실상 도로로 사용되는 토지”가 같은 법 제44조에 따른 건축물의 대지가 접하여야 하는 “도로”에 포함되는지?,건축법 제2조 제1항 제11호에 따른 “도로” 외에 “지목이 도로이고 사실상 도로로 사용되는 토지”는 같은 법 제44조에 따른 건축물의 대지가 접하여야 하는 “도로”에 포함되지 않음.,"법령에서의 정의 규정은 그 법령에서 쓰고 있는 중요한 용어 등에 대하여 법령 자체에서 그 의미를 명확하게 함으로써 법령의 해석과 적용상의 의문점을 없애기 위하여 두는 것으로서 총칙에서 규정된 정의 규정은 그와 달리 해석하여야 할 특별한 규정을 두고 있지 않는 한 그 법령의 전체에 그 효력이 미친다고 할 것인바,
「건축법」의 정의 규정인 제2조 제1항 각 호에서 규정하고 있는 용어의 의미는 다른 특별한 규정이 없는 한 「건축법」의 다른 규정에 대해서도 효력이 미친다고 할 것임.
다음으로,「건축법」 제44조 제1항 각 호 외의 부분 본문에서는 건축물의 대지는 2미터 이상이 도로에 접하여야 한다고 규정하고 있을 뿐이고, 여기서 “도로”가 같은 법 제2조 제1항 제11호에 따른 “도로”와 다른 의미로 해석될 만한 별도의 제한을 규정하고 있지 않은 것이 문언상 명백하다고 할 것인바,
「건축법」 제44조에 따른 건축물 대지의 접도 의무 기준이 되는 “도로”는 같은 법 제2조 제1항 제11호에서 규정하고 있는 “도로”를 의미한다고 할 것이므로 「건축법」 제2조 제1항 제11호에 따른 “도로”에 해당하지 않는 경우에는 같은 법 제44조에 따라 건축물의 대지가 접하여야 하는 “도로”에도 해당하지 않는다고 할 것임."
3,1,"건축법 제44조 제1항 제1호에서 정한 건축물의 출입에 지장이 없는 경우가 연면적 2,000㎡ 이상인 건축물에도 적용되는지","건축법 제44조 제1항에서는 건축물의 대지는 2미터 이상이 도로(에 접하여야 하되, 해당 건축물의 출입에 지장이 없다고 인정되는 경우(제1호) 등 같은 항 각 호의 어느 하나에 해당하면 그러하지 아니하다고 규정하고 있고, 같은 법 시행령 제28조 제2항에서는「건축법」제44조 제2항에 따라 연면적의 합계가 2,000㎡ 이상인 건축물의 대지는 너비 6미터 이상의 도로에 4미터 이상 접하여야 한다고 규정하고 있는바, 연면적의 합계가 2,000㎡ 이상인 건축물의 출입에 지장이 없는 경우에도 그 건축물의 대지는 건축법 시행령 제28조 제2항에 따라 너비 6m 이상인 도로에 접해야 하는지?","연면적의 합계가 2,000㎡ 이상인 건축물의 출입에 지장이 없는 경우에도 그 건축물의 대지는 건축법 시행령 제28조 제2항에 따라 너비 6m 이상인 도로에 접해야 함.","건축법 제44조 및 같은 법 시행령 제28조에서 건축물의 대지에 대한 접도의무를 규정하고 있는 것은 건축물의 대지와 도로와의 관계를 특별히 규제하는 데 있어 접도의무를 위반하는 토지에 대해서는 건축물을 건축하는 행위를 허용하지 않으려는 취지인 바(법제처 2009.12.14.회신 09-0371 해석례 및 대법원 1999.6.25. 선고 98두18299 판결례 참조),
입법취지에 비추어 볼 때 건축법 시행령 제28조 제2항에 따른 강화된 접도의무를 위반한 토지는 건축 행위가 예외없이 허용되지 않는다고 보아야 할 것이므로,
연면적의 합계가 2천 제곱미터 이상인 건축물의 출입에 지장이 없는 경우라고 하더라도 건축물의 대지는 건축법 시행령 제28조 제2항에 따라 너비 6미터 이상인 도로에 반드시 접해야 하고, 이러한 경우 건축법 제44조 제1항 제1호가 적용되어 강화된 접도의무가 면제될 수 없음."
4,1,"도로의 너비에 차도나 보도 외의 연석선, 길어깨, 안전확보장치 등의 너비가 포함되는지","1) 건축법 제2조 제1항 제11호에 따른 도로의 너비에 차도(車道)나 보도(步道) 외에 연석선, 길어깨, 안전 확보 장치 등의 너비도 포함되는지?
2) 종전 「도시계획시설기준에 관한 규칙」(2000.8.18. 건설교통부령 제257호로 개정되기 전의 것으로서 2003.1.1. 폐지된 것) 제10조 제4호 및 구 「도시·군계획시설의 결정·구조 및 설치기준에 관한 규칙」 (2012.10.31. 국토해양부령 제525호로 개정되기 전의 것을 말함) 제10조 제8호에서 “일반도로”는 보행자의 통행에 필요한 보도의 폭을 충분히 확보하여야 한다고 규정하고 있는바, 명확하게 구분되는 보도를 갖추지 않은 도로를 일반 도로로 결정할 수 있는지?","1) 건축법 제2조 제1항 제11호에 따른 도로의 너비에 차도나 보도 외에 연석선, 길어깨, 안전확보장치 등의 너비도 포함됨.
2) 명확하게 구분되는 보도를 갖추지 않은 도로를 일반도로로 결정할 수 있음.","건축법상 도로의 너비에 실제로 보행과 자동차 통행이 가능한 너비만 포함되고, 사람이나 차량이 안전하게 통행하기 위하여 필요한 시설물 등인 연석선, 길어깨, 안전확보장치 등이 차지하는 너비는 제외된다고 해석하게 되면, 실제로 갖추어야 할 도로의 너비 기준인 4미터(35미터 이상의 막다른 도로는 6미터) 보다 더 넓은 도로에 건축물이 접해야만 건축허가를 받을 수 있게 되는 불합리한 결과가 나오게 됨.
「도로의 구조·시설기준에 관한 규칙」제10조 제3항에서는 일반도로에서의 차로의 최소 폭을 3미터로 규정하고 있고, 같은 규칙 제16조 제3항에서는 보도의 최소 유효폭을 2미터로 규정하고 있는바, 도로에 보도가 반드시 차도와 명확하게 구분되는 형태로 함께 갖추어져야 한다면 그 최소폭이 5미터에 이르게 되어 도로의 최소 폭을 4미터로 규정한 「건축법」 제2조 제1항 제11호의 규정이 무의미해질 수 있다는 점도 이 사안을 해석할 때 고려하여야 함."
5,1,개발행위허가 기준에 적합하게 설치한 도로를 「건축법」상 도로로 볼 수 있는지,"「국토계획법」에 따른 도시지역 및 지구단위계획구역 외의 지역으로서 동이나 읍이 아닌 지역에서 같은법 제56조 제1항에 따른 건축물 건축을 위한 개발행위허가 시 같은 법 시행령 별표 1의2에 따라 진입 도로가 설치된 경우,
「건축법」제2조 제1항 제11호 나목에 따라 특별시장·광역시장·특별자치시장·도지사·특별자치도지사 등이 건축허가 시에 그 진입 도로의 위치를 지정하여 공고하지 않더라도 해당 진입도로를 「건축법」에 따른 도로로 볼 수 있는지?",「건축법」제2조 제1항 제11호 나목에 따라 특별시장·광역시장·특별자치시장·도지사·특별자치도지사 등이 건축허가 시에 그 진입 도로의 위치를 지정하여 공고하지 않았다면 해당 진입도로를 「건축법」에 따른 도로로 볼 수 없음.,"「건축법」제3조 제2항은 비도시 면지역의 경우 해당 지역의 규모나 지역적 특성 등에 비추어 볼 때, 해당 구역에 소재한 건축물의 대지에 대하여 「건축법」상의 도로와 접하도록 하는(제44조) 등 일반적인 건축물 및 그 대지와 도로의 관계를 적용하는 것은 현실적으로 어렵다는 정책적 판단에 따른 것인 바(법제처2012.10.31. 12-0559 해석례 참조),
「건축법」제3조 제2항에서 같은 법 제45조를 적용하지 않는다는 것은 비도시 면지역에 대해서는 건축 허가나 신고 시에 해당 건축물의 출입 등에 필요한 도로의 위치를 지정하지 않더라도 건축물을 건축할 수 있도록 하려는 취지이지, 도로의 위치 지정·공고가 없는 도로를 「건축법」에 따른 도로에 포함하려는 취지는 아니라고 할 것이므로, 그러한 의견은 타당하지 않다고 할 것임."
6,1,건축물 대지의 접도의무 규정의 의미,"건축물 대지의 2미터 이상이 「건축법」 제2조 제11호에 따른 도로에 접해 있으나 해당 건축물에서 해당 도로까지 통로로 사용되는 구간 중 너비가 2미터 미만인 곳이 있는 경우가 건축물 대지의 2미터 이상이 도로에 접할 것을 규정하고 있는 같은 법 제44조 제1항에 위반되는지?
질의 배경
대지의 2미터 이상이 도로에 접해 있어 외형상으로는 「건축법」제44조 제1항의 요건을 충족하지만, 그 접도 부분부터 건축 예정지역 부분으로 이어지는 구간 중에 너비가 2미터가 안되는 부분이 있는 경우가 「건축법」 제44조 제1항 위반인지 의문이 있어 법령해석을 요청함.",해당 건축물에서 해당 도로까지 통로로 사용되는 구간이 제반 사정을 고려할때 건축물에서 도로로의 출입에 지장이 없다면 건축법 제44조 제1항에 위반되지 않음.,"건축법 제44조 제1항 단서에서는 해당 건축물의 출입에 지장이 없다고 인정되는 경우나 건축물의 주변에 대통령령으로 정하는 공지가 있는 경우 등에는 같은 항 본문에 따른 접도의무의 예외를 인정하고 있는데, 이는 건축물에서 도로까지의 구간에 피난상·방화상 등에 필요한 통로를 확보해 안전을 도모하기 위한 건축법 제44조 제1항 본문의 취지를 고려해 해당 건축물의 출입에 지장이 없다고 인정되는 경우 등에는 건 축물의 대지가 도로에 접하지 않거나, 접하는 부분이 2미터 미만이라도 건축행위를 허용하려는 것임.
그러한 예외사항에 해당하는지 여부는 건축물의 종류와 규모, 건축물에서 도로까지의 구간 중에 통행을 방해하는 장애물이 있는지 여부, 인접 대지의 통행 가능 여부 등 제반 사정을 고려해 판단해야 하는데,
만약 예외사항에 해당한다면 건축물의 대지와 도로가 접하는 부분이 반드시 2미터 이상이어야 할 필요는 없는 것이므로, 비록 건축물에서 도로까지의 구간 중에 너비가 2미터 미만인 부분이 있더라도 해당 구간을 통해 건축물의 출입에 지장이 없다면 「건축법」 제44조 제1항을 위반한 것은 아니라고 보아야 함."
7,1,「건축법」 제45조 제1항 제2호에 해당하는 경우에도 같은 법 제2조 제1항 제11호에 따른 도로의 너비 요건을 갖추어야 하는지 여부,"「건축법」 제45조 제1항 제2호에 따라 허가권자(특별시장·광역시장·특별자치시장·특별자치도지사 또는 시장·군수·구청장을 말하며, 이하 같음.)가 이해관계인의 동의를 받지 않고 건축위원회의 심의를 거쳐 도로를 지정할 수 있는 경우에도 해당 도로는 같은 법 제2조 제1항 제11호 각 목 외의 부분에서 규정하고 있는 보행과 자동차 통행이 가능한 “너비 4미터 이상”인 도로의 요건을 갖추어야 하는지? (지형적으로 자동차 통행이 불가능한 경우와 막다른 도로의 경우가 아님을 전제함.)",해당 도로는 「건축법」 제2조 제1항 제11호 각 목 외의 부분에서 규정하는 “너비 4미터 이상”의 요건을 갖추어야 함.,"「건축법」 제45조 제1항에서는 허가권자가 같은 법 제2조 제1항 제11호 나목에 따라 도로의 위치를 지정·공고하려면 그 도로에 대해 이해관계인의 동의를 받도록 하면서(각 호 외의 부분 본문) 주민이 오랫동안 통행로로 이용하고 있는 사실상의 통로로서 해당 지방자치단체의 조례로 정하는 것인 경우에 해당하면 이해관계인의 동의를 받지 않고 건축위원회 심의를 거쳐 도로를 지정할 수 있다고 규정(각 호 외의 부분 단서 및 제2호)하고 있는바, 이는 도로의 지정 절차와 관련하여 이해관계인의 동의를 생략하고 건축위원회 심의로 그 절차를 대신할 수 있도록 하는 것일 뿐이고 도로 지정의 요건을 달리 규정한 것은 아님.
아울러 「건축법」은 건축물의 대지·구조·설비 기준 및 용도 등을 정하여 건축물의 안전·기능·환경 및 미관을 향상시킴으로써 공공복리를 증진하는 것을 목적으로 하는 법률로서 같은 법에서 정의하고 있는 도로는 특히 건축물의 건축과 관련하여 필요한 특정한 성질을 갖춘 도로에 대해 규정한 것으로, 건축물이 원활하게 활용되기 위해서는 사람과 자동차의 통행이 자유로워야 한다는 점을 감안하여 건축과 관련된 도로의 너비를 4미터 이상으로 규정한 것이라는 점도 이 사안을 해석할 때 고려해야 함."
8,1,"건축물의 접도의무 규정이 적용되지 않는 「건축법 시행령」 제28조 제1항에 따른 광장, 공원, 유원지에 대하여 허가권자의 인정이 필요한지 여부","「건축법」 제44조 제1항 각 호 외의 부분 단서 및 같은 항 제2호에서는 건축물의 주변에 대통령령으로 정하는 공지가 있는 경우에는 건축물의 대지는 2미터 이상이 도로에 접하지 않아도 된다고 규정하고 있고, 그 위임에 따라 같은 법 시행령 제28조 제1항에서는 “대통령령으로 정하는 공지”란 광장, 공원, 유원지, 그 밖에 관계 법령에 따라 건축이 금지되고 공중의 통행에 지장이 없는 공지로서 허가권자가 인정한 것을 말한다고 규정하고 있는바,
건축물의 주변에 광장, 공원, 유원지(이하 “광장등”이라 함)가 있으나, 「건축법 시행령」 제28조 제1항에 따른 허가권자의 인정은 없는 경우에도 그 건축물의 대지에 대하여 「건축법」 제44조 제1항 각 호 외의 부분 단서 및 같은 항 제2호가 적용되는지?",건축물의 대지에 대하여 「건축법」 제44조 제1항 각 호 외의 부분 단서 및 같은 항 제2호가 적용되지 않음.,"건축법령에서 건축물 대지의 접도의무를 규정한 취지가 건축물의 이용자에게 교통상·피난상·방화상·위생상 안전한 상태를 제공하기 위하여 도로에 접하지 않는 대지에 건축물을 건축하는 행위를 허용하지 않으려는 데에 있다는 점에 비추어 볼 때, 예외적으로 접도의무 규정이 적용되지 않는 경우는 건축물의 대지가 2미터 이상 도로에 접하지 않더라도 교통상·피난상·방화상·위생상 문제가 발생할 소지가 없는 경우로 제한된다고 보아야 함.
그렇다면 허가권자가 「건축법」 제44조 제1항 제2호 및 같은 법 시행령 제28조 제1항에 따라 접도의무 규정을 적용하지 않고 건축행위를 허용하는 경우, 건축물의 종류와 규모, 건축물에서 도로까지의 구간 중에 통행을 방해하는 장애물이 있는지 여부, 인접 대지의 통행 가능 여부 등 제반 사정을 고려하여 이러한 예외 사유에 해당하는지를 판단할 필요가 있는바, 허가권자가 사전에 확인하여 접도의무 규정의 적용 제외 여부를 결정하기 위한 “허가권자의 인정” 절차가 필요하다고 할 것임."
9,2,아파트 구조로 건축되는 군부대 관사시설의 「건축법」상 건축물 용도,"군부대 영외 지역에서 「사회기반시설에 대한 민간투자법」에 따라 민간투자사업으로 건축되는 지상 5층 이상인 아파트 구조의 군부대 관사시설의 경우, 「건축법」상 건축물의 용도는 같은 법 시행령 별표 1 제2호 가목에 따른 아파트인지, 아니면 같은 표 제23호 라목에 따른 국방·군사시설인지?",「건축법」상 건축물의 용도는 같은 법 제2조 제2항 제23호에 따른 교정 및 군사 시설로서 같은 법 시행령 별표 1 제23호 라목에 따른 국방·군사시설에 해당함.,"군부대 관사시설의 경우에는 공동주택 중 아파트와 같거나 유사한 구조를 가지고 있다고 하더라도 군인 또는 군인 가족의 주거가 그 해당 건축물의 주된 이용 목적이 된다고 할 것이고, 「사회기반시설에 대한 민간투자법」 제2조 제1호 초목에 따르면, 군영 외에 건립되는 군부대 관사시설을 「군사기지 및 군사시설 보호법」 제2조 제2호에 따른 군사시설의 하나로 보아 민간투자사업의 대상으로 규정하고 있음.
또한, 「국방·군사시설 사업에 관한 법률」 제2조 제1항 제7호에 따르면, 군부대에 부속된 시설로서 군인의 주거·복지·체육 또는 휴양 등을 위하여 필요한 시설을 국방·군사시설의 하나로 규정하고 있는데, 여기서 “군부대에 부속된 시설”이 같은 대지에 있을 것을 전제로 하는 「건축법 시행령」 제2조 제12호에 따른 부속 건축물을 의미한다고 볼 수는 없다고 할 것이고, 군인은 비상시 신속한 출동에 대비하여 군의 영내나 근접지 거주의 필요성이 크고, 군주둔지 주변의 주거사정이 열악한 점 등의 특수한 사정을 고려할 때 군 장교 및 하사관과 그 가족들의 주거용으로 쓰는 아파트 구조의 관사시설도 군사상 긴요한 시설로 보아야 할 것(대법원 1993. 9. 14. 선고 92다32012 판결례 참조)임."
10,2,『건축법 시행령』 별표 1에 따라 용도별 건축물의 종류를 분류할 때 지하층을 건축물의 층수에 산입하는지 여부,"「건축법 시행령」 별표 1 제2호에 따라 공동주택의 종류를 분류할 때, 주택으로 쓰는 지하층은 같은 영 제119조 제1항 제9호에 따라 건축물의 층수에 산입하는지?","「건축법 시행령」 별표 1 제2호에 따라 공동주택의 종류를 분류할 때, 주택으로 쓰는 지하층은 같은 영 제119조 제1항 제9호에 따라 건축물의 층수에 산입하지 아니함.","먼저 「건축법」 제84조 및 「건축법 시행령」 제119조 제1항 제9호에서는 건축물의 층수의 산정방법을 정하면서 지하층은 건축물의 층수에 산입하지 아니한다고 규정하고 있는바, 이는 「건축법」에 따른 건축물의 층수를 산정하는 방법을 정한 것으로서 특별한 예외규정이 명시되어 있지 않은 한 「건축법」에 따른 건축물에 일반적으로 적용되어야 할 것으로서, 같은 법 시행령 별표 1에 따라 용도별 건축물의 종류를 구분하면서 층수를 산정할 때에도 예외는 아니라 할 것임.
또한 「건축법 시행령」 별표 1 제1호 다목 1)에서는 다가구주택을 구분하면서, ‘주택으로 쓰는 층수(지하층은 제외한다)가 3개 층 이하일 것’으로 규정한 것은 같은 영 제119조 제1항 제9호에 따른 층수의 산정방법을 다시 적시한 것에 불과한 것이고, 이러한 별도의 규정이 없다고 하더라도 「건축법 시행령」 제119조 제1항 제9호는 「건축법」에 따른 건축물의 층수를 산정할 때 일반적으로 적용되는 규정이므로 같은 법 시행령 별표 1에 따라 용도별 건축물을 분류함에 있어서의 층수를 산정할 때에도 적용되는 것임."
